sigma,run,correlation,gini,top10_overlap
0.5,1,0.5320956867170348,0.7297243469636067,0.585
0.5,2,0.5060966164954169,0.7416364736440355,0.595
0.5,3,0.45901704095383294,0.7427508961130176,0.6
0.5,4,0.41430049538477703,0.7414065738788006,0.605
0.5,5,0.4869192506856375,0.7250223618341763,0.6
0.5,6,0.504677543853417,0.728864748528518,0.585
0.5,7,0.4669269188520096,0.7348555866637105,0.58
0.5,8,0.5326491350882344,0.7368700185637426,0.62
0.5,9,0.5036591223404446,0.7192253326734225,0.605
0.5,10,0.5445201771960558,0.732596382478653,0.605
0.5,11,0.43719936868905107,0.7334341131023927,0.61
0.5,12,0.4704037366065355,0.7303361485420887,0.56
0.5,13,0.4252398498760493,0.7346691007593581,0.585
0.5,14,0.47763279843681117,0.7409047209637859,0.575
0.5,15,0.5226089800641016,0.7412313920666801,0.57
0.5,16,0.403159581801313,0.7601216212186299,0.63
0.5,17,0.5370984086758025,0.7200149149645964,0.635
0.5,18,0.47564317847979815,0.7314570015411512,0.605
0.5,19,0.5351416905633714,0.7314480296000443,0.61
0.5,20,0.47308393624477024,0.7461065811837306,0.63
0.5,21,0.3796687694541406,0.7695579745179296,0.6
0.5,22,0.5696464455670293,0.7367970373753918,0.6
0.5,23,0.5398288722843949,0.7416226404737809,0.63
0.5,24,0.5537951291988753,0.7369299803465434,0.64
0.5,25,0.4475907262860582,0.7368324791467277,0.6
0.5,26,0.4870957170352122,0.7447391607220242,0.625
0.5,27,0.4266234645269705,0.7455118674549215,0.595
0.5,28,0.5106939010090559,0.7219001603513397,0.585
0.5,29,0.6153812029694372,0.718719508943458,0.63
0.5,30,0.4340644698924016,0.7414202528196081,0.58
0.5,31,0.47403538647878873,0.7284891000822894,0.62
0.5,32,0.4583831273780857,0.7519802666983867,0.57
0.5,33,0.48494206757676633,0.7316754909024801,0.61
0.5,34,0.5083197461187106,0.7442551697625645,0.635
0.5,35,0.4856733824353429,0.7288011177735688,0.57
0.5,36,0.35099093714152746,0.7627280106841232,0.625
0.5,37,0.46377977035900425,0.7393758630021509,0.59
0.5,38,0.4701968163934179,0.7268348207479703,0.605
0.5,39,0.43371214254217405,0.7512265218603857,0.645
0.5,40,0.4355797112142625,0.7399983641120471,0.555
0.5,41,0.47928732418794623,0.7538241068543873,0.63
0.5,42,0.380220874439629,0.7634680114612094,0.595
