sigma,run,correlation,gini,top10_overlap
1.5,15,0.8535780954994214,0.42957090264483067,0.705
1.5,16,0.8542145324054423,0.44915858223479715,0.705
1.5,17,0.8493249155968043,0.4335378139361685,0.7
1.5,18,0.8416998451187228,0.4385160981683294,0.66
1.5,19,0.8555239575516222,0.4326840019088406,0.715
1.5,20,0.8485123670822912,0.42870135008500104,0.685
1.5,21,0.8472133675706739,0.4365557477418093,0.685
1.5,22,0.8580766653966023,0.4347300329859867,0.71
1.5,23,0.8546542067050562,0.4313097949482221,0.68
1.5,24,0.8480956208322247,0.42706143520852785,0.69
1.5,25,0.8445381540341894,0.4350954148513556,0.68
1.5,26,0.8551137779844752,0.4329041844871287,0.675
1.5,27,0.8538626919887295,0.4394810269375017,0.675
1.5,28,0.852887547085879,0.4389479838556953,0.675
1.5,29,0.8514857372387407,0.432979741239772,0.645
1.5,30,0.8500352162793781,0.4300532631700786,0.725
1.5,31,0.8505621694670331,0.4388410681428159,0.725
1.5,32,0.8592254855377993,0.4294575491020633,0.685
1.5,33,0.8390536258091517,0.4451510836362757,0.735
1.5,34,0.8507457280630799,0.43812014524536097,0.7
1.5,35,0.8501429255960422,0.43231663610375465,0.675
1.5,36,0.8526952775703437,0.4341253974630718,0.68
1.5,37,0.8563798582942543,0.4361058615785087,0.72
1.5,38,0.8478450597074692,0.4348025752850886,0.665
1.5,39,0.8477573954861746,0.4343007758547364,0.72
1.5,40,0.8482937976192496,0.4376506294724446,0.665
1.5,41,0.8555151791963135,0.4363356923405734,0.67
1.5,42,0.8463453641514815,0.42945037474542314,0.635
1.5,43,0.8518293661333113,0.4400164552264531,0.68
1.5,44,0.8548926089964238,0.4276485127294275,0.67
1.5,45,0.8476755728014111,0.4345558062861797,0.715
1.5,46,0.8489667860285796,0.4387674182374793,0.69
1.5,47,0.8465249155227303,0.4431442271058987,0.7
1.5,48,0.8525382809503995,0.44385939796728746,0.71
1.5,49,0.8495910695262906,0.4367921355498655,0.685
1.75,0,0.8333234399004266,0.3930087925955795,0.64
1.75,1,0.8449894355412119,0.400589003844495,0.645
1.75,2,0.8402171548723513,0.4068861557066338,0.69
1.75,3,0.8499928563431736,0.39600814345143237,0.62
1.75,4,0.8480810938789214,0.39984071279193517,0.67
1.75,5,0.8410147428781575,0.3966067024856148,0.655
1.75,6,0.8413764130510001,0.39898680065046477,0.645
1.75,7,0.8366190332362928,0.38869265881195436,0.665
1.75,8,0.8518746613376474,0.39535712370838805,0.615
1.75,9,0.8486129742349945,0.4007869739745357,0.705
1.75,10,0.8470595794582226,0.3946037576951664,0.615
1.75,11,0.837326148345006,0.3920066350210845,0.665
1.75,12,0.8461161413864047,0.40000321973697556,0.675
1.75,13,0.8461420090455642,0.39729991111792173,0.675
1.75,14,0.8474929719093841,0.38870847764458544,0.705
1.75,15,0.8434627425701807,0.39273854306311473,0.665
1.75,16,0.8335720555838572,0.39635973820844905,0.64
1.75,17,0.8474733913440937,0.3959621487564495,0.665
1.75,18,0.8454583110358581,0.39468013490559417,0.66
1.75,19,0.8427137613596298,0.38062849130467696,0.635
1.75,20,0.8387577349124057,0.3981513510955377,0.615
1.75,21,0.8524235589287544,0.3955096195358676,0.655
1.75,22,0.8331474946603697,0.3858597364202514,0.655
1.75,23,0.8378371405056462,0.39533229886395693,0.685
1.75,24,0.8399098091564257,0.3976166632185804,0.655
1.75,25,0.8500218808576108,0.40503546136279384,0.665
1.75,26,0.8601453932151194,0.3965715606984179,0.655
1.75,27,0.8425315012948134,0.40059536663227346,0.635
1.75,28,0.8338815103968619,0.38592017541716545,0.645
1.75,29,0.8486010873649852,0.39028300287688117,0.655
1.75,30,0.8441302648023189,0.39009740933288467,0.675
1.75,31,0.8341520979175046,0.39720511898009575,0.645
1.75,32,0.8397046883211715,0.3927224875390642,0.675
1.75,33,0.8492170544073845,0.40571585796139853,0.655
1.75,34,0.8456640047463921,0.3935107092625384,0.635
1.75,35,0.8478204743435243,0.39454147281074725,0.635
1.75,36,0.8444943584972573,0.3977223636286795,0.63
1.75,37,0.8422561631161568,0.39457703726293625,0.605
1.75,38,0.8338039312123827,0.39936755367606536,0.615
1.75,39,0.8361475557187752,0.38749158221637364,0.65
1.75,40,0.842163326106497,0.38992527604840294,0.66
1.75,41,0.847892429651143,0.3953178449099392,0.705
1.75,42,0.8432304116322732,0.40072993668790463,0.665
1.75,43,0.8361378916330996,0.3975956840763826,0.685
1.75,44,0.8471651934372899,0.39109273956497576,0.625
1.75,45,0.8446107235074174,0.4013629144333537,0.665
1.75,46,0.8452397348956561,0.39365453724676297,0.585
1.75,47,0.8366949240085068,0.38385507007190517,0.625
1.75,48,0.836038124039465,0.39284900174641646,0.62
1.75,49,0.8465482935397083,0.3965734921289455,0.605
2,0,0.8352626049396102,0.35853744207723487,0.66
2,1,0.8355636896944968,0.37184004978821145,0.635
2,2,0.8376349568188669,0.362999112154965,0.615
2,3,0.8398462904198032,0.3661932223018669,0.62
2,4,0.8436034562622882,0.3642252231602331,0.665
2,5,0.8294430208814919,0.3588577705693417,0.65
2,6,0.8343475158837467,0.36625702003526484,0.63
2,7,0.8291494168506239,0.357291619433605,0.665
2,8,0.8281256756078105,0.3641999001654864,0.615
2,9,0.8309373308679382,0.36521184300313575,0.635
2,10,0.8323610197965229,0.36472227395218704,0.605
2,11,0.8347482699145033,0.3620397192737846,0.645
2,12,0.8241381567256976,0.3565935874307178,0.635
2,13,0.8348520475710927,0.36806754222200194,0.595
2,14,0.8330326590573793,0.36952643834464455,0.61
2,15,0.8431564603371811,0.3726942237795324,0.65
2,16,0.8228639150805861,0.36287290326083,0.675
2,17,0.8369625882369304,0.36967800538734785,0.655
2,18,0.8319403744756344,0.3637822903148348,0.645
2,19,0.8382657319714495,0.3663938440611927,0.655
2,20,0.829367306765976,0.37502904362514894,0.66
2,21,0.840570897782162,0.3672561167183461,0.68
2,22,0.8382819088830935,0.3680661741984297,0.695
2,23,0.8418456203582257,0.37870495112967417,0.62
2,24,0.8249665065692214,0.3554841825372672,0.585
2,25,0.8443115717816829,0.36923753788272917,0.65
2,26,0.8353750573849853,0.3687573582042806,0.685
2,27,0.8280899554232948,0.3638418294724897,0.64
2,28,0.8311163617307272,0.3668261274991364,0.635
2,29,0.8214431278746563,0.3680976052244867,0.57
2,30,0.8384324441818358,0.3759613621315815,0.65
2,31,0.8229278402357076,0.357590631028173,0.585
2,32,0.8287548329441855,0.36434456756712974,0.655
2,33,0.8344254899053003,0.3702612929764764,0.665
2,34,0.8331150827460146,0.37055205294238425,0.66
2,35,0.828301224690909,0.36352492224316135,0.6
2,36,0.8276959522429874,0.37060955815093943,0.655
2,37,0.8362379164681305,0.3626962934853997,0.665
2,38,0.8315400789183749,0.35532220125084124,0.58
2,39,0.8223852934974988,0.36699008919694553,0.63
2,40,0.833505432611482,0.3577077262155221,0.63
2,41,0.8218557739610368,0.36162433368881475,0.605
2,42,0.8400657611917234,0.3604854503822813,0.665
2,43,0.8334920602645897,0.37319605079118245,0.59
2,44,0.8352721918990171,0.3580077460027353,0.605
2,45,0.8367597029380703,0.3666799617175008,0.66
2,46,0.8383304216331597,0.36031312150590794,0.64
2,47,0.8418717362258582,0.3652534171180116,0.65
2,48,0.8307169400822376,0.3540501118120527,0.635
2,49,0.8432536235686112,0.36163188929699075,0.65
